fraction,tree,extinction,estimate,mape
0.25,tree.178,no_ext,mape.mean.new,122.57180777098635
0.25,tree.178,no_ext,mape.median.new,139.97528942289978
0.25,tree.179,no_ext,mape.incomplete,112.17563799626757
0.25,tree.179,no_ext,mape.mean,103.6366389386852
0.25,tree.179,no_ext,mape.median,113.67355702564268
0.25,tree.179,no_ext,mape.mean.new,86.01844576868336
0.25,tree.179,no_ext,mape.median.new,112.17563821858919
0.25,tree.18,no_ext,mape.incomplete,60.228447079303415
0.25,tree.18,no_ext,mape.mean,62.52296485256682
0.25,tree.18,no_ext,mape.median,60.78298453990918
0.25,tree.18,no_ext,mape.mean.new,53.9718892544167
0.25,tree.18,no_ext,mape.median.new,60.22844799248117
0.25,tree.180,no_ext,mape.incomplete,163.9768088137307
0.25,tree.180,no_ext,mape.mean,144.36698378825156
0.25,tree.180,no_ext,mape.median,167.39146471956406
0.25,tree.180,no_ext,mape.mean.new,134.73968621887903
0.25,tree.180,no_ext,mape.median.new,163.97680991547654
0.25,tree.181,no_ext,mape.incomplete,61.435574005832294
0.25,tree.181,no_ext,mape.mean,63.47401669740912
0.25,tree.181,no_ext,mape.median,62.06622959977277
0.25,tree.181,no_ext,mape.mean.new,53.78521669720546
0.25,tree.181,no_ext,mape.median.new,61.4355748921528
0.25,tree.182,no_ext,mape.incomplete,79.69401935088601
0.25,tree.182,no_ext,mape.mean,78.3460863436945
0.25,tree.182,no_ext,mape.median,82.34840248481827
0.25,tree.182,no_ext,mape.mean.new,65.78319541355685
0.25,tree.182,no_ext,mape.median.new,79.69402141678869
0.25,tree.183,no_ext,mape.incomplete,25.90999319237025
0.25,tree.183,no_ext,mape.mean,35.775436738842394
0.25,tree.183,no_ext,mape.median,26.498488110521095
0.25,tree.183,no_ext,mape.mean.new,29.130662859349638
0.25,tree.183,no_ext,mape.median.new,25.909995049960383
0.25,tree.184,no_ext,mape.incomplete,78.45324836849747
0.25,tree.184,no_ext,mape.mean,78.18160185431002
0.25,tree.184,no_ext,mape.median,79.75639910831725
0.25,tree.184,no_ext,mape.mean.new,76.76275247962192
0.25,tree.184,no_ext,mape.median.new,78.45324965687034
0.25,tree.185,no_ext,mape.incomplete,152.84335826958545
0.25,tree.185,no_ext,mape.mean,133.6599587778841
